#Top: saturn_top_wrapper   Floorplan: rtl_1   Part: xc7a200tfbg676-2
#Generated by: laure   on: Fri Dec 13 10:20:12 2024
#Build: Vivado v2023.1   by: xbuild   on: Sun May  7 15:05:29 MDT 2023
#Package Version: FINAL 2012-06-20
#Package Pin Delay Version: FINAL VERS. 2.0 2012-06-20

IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
16,H16,IOB_X0Y238,IO_L6P_T0_16,77.010,77.784,,,Dac_Atten[3],OUT,,,LVCMOS25,12,SLOW,,,,,,,,,NONE,,
16,H17,IOB_X0Y249,IO_0_16,38.077,38.459,,,Dac_Atten[2],OUT,,,LVCMOS25,12,SLOW,,,,,,,,,NONE,,
16,G15,IOB_X0Y242,IO_L4P_T0_16,72.495,73.223,,,Dac_Atten[1],OUT,,,LVCMOS25,12,SLOW,,,,,,,,,NONE,,
16,F15,IOB_X0Y241,IO_L4N_T0_16,77.508,78.287,,,Dac_Atten[0],OUT,,,LVCMOS25,12,SLOW,,,,,,,,,NONE,,
16,G16,IOB_X0Y237,IO_L6N_T0_VREF_16,74.521,75.270,,,Dac_Atten_Clk[0],OUT,,,LVCMOS25,12,SLOW,,,,,,,,,NONE,,
16,E17,IOB_X0Y228,IO_L11P_T1_SRCC_16,82.058,82.882,,,Dac_Atten_Data[0],OUT,,,LVCMOS25,12,SLOW,,,,,,,,,NONE,,
16,F18,IOB_X0Y244,IO_L3P_T0_DQS_16,52.265,52.790,,,Dac_Atten_LE[0],OUT,,,LVCMOS25,12,SLOW,,,,,,,,,NONE,,
16,F19,IOB_X0Y243,IO_L3N_T0_DQS_16,55.380,55.937,,,Dac_Atten_Mode[0],OUT,,,LVCMOS25,12,SLOW,,,,,,,,,NONE,,
35,E5,IOB_X1Y174,IO_L13P_T2_MRCC_35,117.803,118.987,,,FPGA_CM4_EN[0],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
35,K7,IOB_X1Y180,IO_L10P_T1_AD15P_35,61.444,62.062,,,GPIO_OUT[23],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
35,J8,IOB_X1Y199,IO_0_35,42.220,42.644,,,GPIO_OUT[22],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
35,H9,IOB_X1Y188,IO_L6P_T0_35,82.266,83.093,,,GPIO_OUT[21],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
35,H8,IOB_X1Y196,IO_L2P_T0_AD12P_35,64.036,64.680,,,GPIO_OUT[20],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
35,G8,IOB_X1Y195,IO_L2N_T0_AD12N_35,65.933,66.596,,,GPIO_OUT[19],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
35,F8,IOB_X1Y192,IO_L4P_T0_35,68.216,68.901,,,GPIO_OUT[18],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
35,F7,IOB_X1Y191,IO_L4N_T0_35,71.500,72.219,,,GPIO_OUT[17],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
35,E6,IOB_X1Y198,IO_L1P_T0_AD4P_35,88.949,89.843,,,GPIO_OUT[16],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
13,U15,IOB_X0Y56,IO_L22P_T3_13,54.805,55.355,,,GPIO_OUT[15],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
13,T15,IOB_X0Y59,IO_L20N_T3_13,64.279,64.925,,,GPIO_OUT[14],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
13,T17,IOB_X0Y58,IO_L21P_T3_DQS_13,39.435,39.831,,,GPIO_OUT[13],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
13,U17,IOB_X0Y50,IO_25_13,38.988,39.380,,,GPIO_OUT[12],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
13,U16,IOB_X0Y55,IO_L22N_T3_13,52.306,52.832,,,GPIO_OUT[11],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
15,H26,IOB_X0Y156,IO_L22P_T3_A17_15,106.231,107.299,,,GPIO_OUT[10],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
15,L19,IOB_X0Y150,IO_25_15,47.072,47.545,,,GPIO_OUT[9],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
15,K18,IOB_X0Y199,IO_0_15,29.867,30.167,,,GPIO_OUT[8],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
13,W20,IOB_X0Y68,IO_L16P_T2_13,84.512,85.362,,,GPIO_OUT[7],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
13,Y20,IOB_X0Y67,IO_L16N_T2_13,86.783,87.655,,,GPIO_OUT[6],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
13,W25,IOB_X0Y92,IO_L4P_T0_13,116.731,117.905,,,GPIO_OUT[5],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
13,V17,IOB_X0Y51,IO_L24N_T3_13,46.460,46.927,,,GPIO_OUT[4],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
13,V19,IOB_X0Y64,IO_L18P_T2_13,60.958,61.571,,,GPIO_OUT[3],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
13,U19,IOB_X0Y65,IO_L17N_T2_13,58.564,59.153,,,GPIO_OUT[2],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
34,M1,IOB_X1Y131,IO_L9N_T1_DQS_34,110.041,111.147,,,GPIO_OUT[1],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
13,T18,IOB_X0Y57,IO_L21N_T3_DQS_13,36.769,37.138,,,GPIO_OUT[0],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
34,H2,IOB_X1Y130,IO_L10P_T1_34,110.907,112.021,,,LEDOutputs[15],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
34,H1,IOB_X1Y129,IO_L10N_T1_34,117.274,118.452,,,LEDOutputs[14],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
34,J3,IOB_X1Y147,IO_L1N_T0_34,92.957,93.892,,,LEDOutputs[13],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
34,J1,IOB_X1Y135,IO_L7N_T1_34,110.027,111.133,,,LEDOutputs[12],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
34,K3,IOB_X1Y148,IO_L1P_T0_34,81.115,81.930,,,LEDOutputs[11],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
34,K1,IOB_X1Y136,IO_L7P_T1_34,99.232,100.229,,,LEDOutputs[10],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
34,L4,IOB_X1Y143,IO_L3N_T0_DQS_34,73.570,74.309,,,LEDOutputs[9],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
34,K2,IOB_X1Y133,IO_L8N_T1_34,95.235,96.192,,,LEDOutputs[8],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
34,K5,IOB_X1Y141,IO_L4N_T0_34,82.384,83.212,,,LEDOutputs[7],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
34,L3,IOB_X1Y134,IO_L8P_T1_34,83.222,84.058,,,LEDOutputs[6],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
34,L5,IOB_X1Y142,IO_L4P_T0_34,65.871,66.533,,,LEDOutputs[5],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
34,L7,IOB_X1Y145,IO_L2N_T0_34,66.685,67.356,,,LEDOutputs[4],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
34,M4,IOB_X1Y144,IO_L3P_T0_DQS_34,70.464,71.172,,,LEDOutputs[3],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
34,M7,IOB_X1Y146,IO_L2P_T0_34,67.642,68.322,,,LEDOutputs[2],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
34,M6,IOB_X1Y138,IO_L6P_T0_34,71.135,71.850,,,LEDOutputs[1],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
34,N6,IOB_X1Y139,IO_L5N_T0_34,66.725,67.395,,,LEDOutputs[0],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
35,B5,IOB_X1Y170,IO_L15P_T2_DQS_35,126.747,128.021,,,PCIECLKREQN[0],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
35,A4,IOB_X1Y167,IO_L16N_T2_35,142.610,144.044,,,PCI_LINK_LED[0],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
34,T4,IOB_X1Y118,IO_L16P_T2_34,104.384,105.434,,,status_in[9],IN,,,LVCMOS33,,,,,,,,,,,,,
34,T3,IOB_X1Y117,IO_L16N_T2_34,90.258,91.166,,,status_in[8],IN,,,LVCMOS33,,,,,,,,,,,,,
34,U2,IOB_X1Y114,IO_L18P_T2_34,107.769,108.853,,,status_in[7],IN,,,LVCMOS33,,,,,,,,,,,,,
34,T2,IOB_X1Y116,IO_L17P_T2_34,94.120,95.066,,,status_in[6],IN,,,LVCMOS33,,,,,,,,,,,,,
34,R2,IOB_X1Y115,IO_L17N_T2_34,88.918,89.812,,,status_in[5],IN,,,LVCMOS33,,,,,,,,,,,,,
34,U1,IOB_X1Y113,IO_L18N_T2_34,113.121,114.257,,,status_in[4],IN,,,LVCMOS33,,,,,,,,,,,,,
34,R1,IOB_X1Y120,IO_L15P_T2_DQS_34,99.949,100.953,,,status_in[3],IN,,,LVCMOS33,,,,,,,,,,,,,
34,P1,IOB_X1Y119,IO_L15N_T2_DQS_34,99.441,100.440,,,status_in[2],IN,,,LVCMOS33,,,,,,,,,,,,,
34,L2,IOB_X1Y127,IO_L11N_T1_SRCC_34,89.373,90.272,,,status_in[1],IN,,,LVCMOS33,,,,,,,,,,,,,
34,N1,IOB_X1Y132,IO_L9P_T1_DQS_34,113.432,114.572,,,status_in[0],IN,,,LVCMOS33,,,,,,,,,,,,,
35,E2,IOB_X1Y155,IO_L22N_T3_35,120.336,121.546,,,TXRX_RELAY[0],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
35,F4,IOB_X1Y177,IO_L11N_T1_SRCC_35,95.915,96.879,,,nADC_CS[0],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
15,L14,IOB_X0Y191,IO_L4N_T0_15,70.749,71.460,,,ADC1Ovr_In_N,IN,N,ADC1Ovr_In_P,LVDS_25,,,,,,,,,,,,,
15,M14,IOB_X0Y192,IO_L4P_T0_15,81.491,82.309,,,ADC1Ovr_In_P,IN,P,ADC1Ovr_In_N,LVDS_25,,,,,,,,,,,,,
35,H3,IOB_X1Y150,IO_25_35,90.670,91.581,,,RF_SPI_DATA,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
15,L15,IOB_X0Y189,IO_L5N_T0_AD9N_15,65.411,66.069,,,ADC1_ATTEN_DAT,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
15,M16,IOB_X0Y188,IO_L6P_T0_15,63.387,64.024,,,ADC1_ATTEN_LE,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
13,U26,IOB_X0Y97,IO_L1N_T0_13,104.667,105.719,,,i2stxd,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
13,U25,IOB_X0Y98,IO_L1P_T0_13,104.101,105.147,,,i2srxd,IN,,,LVCMOS33,,,,,,,,,,,,,
14,N17,IOB_X0Y141,IO_L4N_T0_D05_14,52.242,52.767,,,ADC2Ovr_In_N,IN,N,ADC2Ovr_In_P,LVDS_25,,,,,,,,,,,,,
14,N16,IOB_X0Y142,IO_L4P_T0_D04_14,51.084,51.598,,,ADC2Ovr_In_P,IN,P,ADC2Ovr_In_N,LVDS_25,,,,,,,,,,,,,
35,E1,IOB_X1Y154,IO_L23P_T3_35,127.596,128.878,,,TX_ENABLE,IN,,,LVCMOS33,,,,,,,,,,,,,
14,R18,IOB_X0Y100,IO_25_14,31.144,31.457,,,ADC2_ATTEN_DAT,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
14,M19,IOB_X0Y149,IO_0_14,30.208,30.512,,,ADC2_ATTEN_LE,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
35,D4,IOB_X1Y172,IO_L14P_T2_SRCC_35,118.957,120.153,,,PCIe_T_SMBDAT,IN,,,LVCMOS33,,,,,,,,,,,,,
15,J25,IOB_X0Y152,IO_L24P_T3_RS1_15,95.790,96.753,,,pll_cr,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
35,K6,IOB_X1Y179,IO_L10N_T1_AD15N_35,64.845,65.496,,,ADC_MISO,IN,,,LVCMOS33,,,,,,,,,,,,,
15,G26,IOB_X0Y155,IO_L22N_T3_A16_15,109.329,110.427,,,TX_DAC_PWM,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
34,P4,IOB_X1Y122,IO_L14P_T2_SRCC_34,83.441,84.279,,,BUFF_Alex_Pin1,IN,,,LVCMOS33,,,,,,,,,,,,,
34,N4,IOB_X1Y121,IO_L14N_T2_SRCC_34,85.450,86.309,,,BUFF_Alex_Pin8,IN,,,LVCMOS33,,,,,,,,,,,,,
13,U20,IOB_X0Y69,IO_L15N_T2_DQS_13,60.033,60.637,,,CODEC_CS,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
13,T19,IOB_X0Y66,IO_L17P_T2_13,57.767,58.347,,,CODEC_SPI_CLK,OUT,,,LVCMOS33,12,SLOW,,,,,PULLUP,,,,NONE,,
13,T20,IOB_X0Y70,IO_L15P_T2_DQS_13,59.220,59.815,,,CODEC_SPI_DATA,OUT,,,LVCMOS33,12,SLOW,,,,,PULLUP,,,,NONE,,
15,J14,IOB_X0Y196,IO_L2P_T0_AD8P_15,68.884,69.576,,,CTRL_TRSW,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
15,J15,IOB_X0Y195,IO_L2N_T0_AD8N_15,59.529,60.127,,,DRIVER_PA_EN,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
35,F2,IOB_X1Y156,IO_L22P_T3_35,120.063,121.269,,,RF_SPI_RX_LOAD,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
35,G2,IOB_X1Y152,IO_L24P_T3_35,114.642,115.794,,,RF_SPI_CK,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
35,F3,IOB_X1Y164,IO_L18P_T2_35,113.120,114.256,,,RF_SPI_TX_LOAD,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
35,D6,IOB_X1Y197,IO_L1N_T0_AD4N_35,98.720,99.712,,,MOX_strobe,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
35,D5,IOB_X1Y173,IO_L13N_T2_MRCC_35,116.205,117.373,,,PCIe_T_SMBCLK,IN,,,LVCMOS33,,,,,,,,,,,,,
0,N12,IPAD_X0Y30,VP_0,70.432,71.140,,,,,,,,,,,,,,,,,,,,
0,P11,IPAD_X0Y31,VN_0,79.285,80.082,,,,,,,,,,,,,,,,,,,,
0,R11,,DXN_0,98.730,99.722,,,,,,,,,,,,,,,,,,,,
0,M12,,VCCADC_0,,,,,,,,,,,,,,,,,,,,,,
0,M11,,GNDADC_0,,,,,,,,,,,,,,,,,,,,,,
0,R12,,DXP_0,94.836,95.789,,,,,,,,,,,,,,,,,,,,
0,N11,,VREFN_0,78.391,79.178,,,,,,,,,,,,,,,,,,,,
0,P12,,VREFP_0,77.189,77.964,,,,,,,,,,,,,,,,,,,,
0,G14,,VCCBATT_0,,,,,,,,,,,,,,,,,,,,,,
0,H13,,CCLK_0,154.485,156.037,,,,,,,,,,,,,,,,,,,,
0,H12,,TCK_0,156.658,158.232,,,,,,,,,,,,,,,,,,,,
0,H11,,TMS_0,151.429,152.951,,,,,,,,,,,,,,,,,,,,
0,J10,,TDO_0,144.185,145.635,,,,,,,,,,,,,,,,,,,,
0,H10,,TDI_0,152.312,153.842,,,,,,,,,,,,,,,,,,,,
0,V11,,INIT_B_0,123.496,124.738,,,,,,,,,,,,,,,,,,,,
0,AE16,,PROGRAM_B_0,158.106,159.696,,,,,,,,,,,,,,,,,,,,
0,AB15,,CFGBVS_0,134.359,135.709,,,,,,,,,,,,,,,,,,,VCCO_0,3.30
0,W10,,DONE_0,111.814,112.938,,,,,,,,,,,,,,,,,,,,
0,W9,,M2_0,125.001,126.257,,,,,,,,,,,,,,,,,,,,
0,AB7,,M0_0,150.255,151.765,,,,,,,,,,,,,,,,,,,,
0,Y9,,M1_0,126.044,127.310,,,,,,,,,,,,,,,,,,,,
0,W11,,VCCO_0,,,,,,,,,,,,,,,,,,,,,VCCO_0,3.30
0,Y14,,VCCO_0,,,,,,,,,,,,,,,,,,,,,VCCO_0,3.30
12,AB22,IOB_X0Y49,IO_0_12,91.632,92.553,true,,,,,,,,,,,,,,,,,,,
12,AE25,IOB_X0Y48,IO_L1P_T0_12,119.011,120.207,true,,,,,,,,,,,,,,,,,,,
12,AE26,IOB_X0Y47,IO_L1N_T0_12,128.496,129.788,true,,,,,,,,,,,,,,,,,,,
12,AC22,IOB_X0Y46,IO_L2P_T0_12,120.967,122.183,true,,,,,,,,,,,,,,,,,,,
12,AC23,IOB_X0Y45,IO_L2N_T0_12,125.207,126.465,true,,,,,,,,,,,,,,,,,,,
12,AF24,IOB_X0Y44,IO_L3P_T0_DQS_12,126.061,127.327,true,,,,,,,,,,,,,,,,,,,
12,AF25,IOB_X0Y43,IO_L3N_T0_DQS_12,127.194,128.472,true,,,,,,,,,,,,,,,,,,,
12,AD25,IOB_X0Y42,IO_L4P_T0_12,119.409,120.609,true,,,,,,,,,,,,,,,,,,,
12,AD26,IOB_X0Y41,IO_L4N_T0_12,132.742,134.076,true,,,,,,,,,,,,,,,,,,,
12,AE23,IOB_X0Y40,IO_L5P_T0_12,108.359,109.449,true,,,,,,,,,,,,,,,,,,,
12,AF23,IOB_X0Y39,IO_L5N_T0_12,121.535,122.757,true,,,,,,,,,,,,,,,,,,,
12,AD23,IOB_X0Y38,IO_L6P_T0_12,114.151,115.299,true,,,,,,,,,,,,,,,,,,,
12,AD24,IOB_X0Y37,IO_L6N_T0_VREF_12,124.755,126.009,true,,,,,,,,,,,,,,,,,,,
12,AD21,IOB_X0Y36,IO_L7P_T1_12,92.848,93.781,true,,,,,,,,,,,,,,,,,,,
12,AE21,IOB_X0Y35,IO_L7N_T1_12,104.662,105.714,true,,,,,,,,,,,,,,,,,,,
12,AF19,IOB_X0Y34,IO_L8P_T1_12,118.284,119.472,true,,,,,,,,,,,,,,,,,,,
12,AF20,IOB_X0Y33,IO_L8N_T1_12,115.115,116.271,true,,,,,,,,,,,,,,,,,,,
12,AE22,IOB_X0Y32,IO_L9P_T1_DQS_12,118.281,119.469,true,,,,,,,,,,,,,,,,,,,
12,AF22,IOB_X0Y31,IO_L9N_T1_DQS_12,116.708,117.880,true,,,,,,,,,,,,,,,,,,,
12,AD20,IOB_X0Y30,IO_L10P_T1_12,92.394,93.323,true,,,,,,,,,,,,,,,,,,,
12,AE20,IOB_X0Y29,IO_L10N_T1_12,102.304,103.332,true,,,,,,,,,,,,,,,,,,,
12,AB21,IOB_X0Y28,IO_L11P_T1_SRCC_12,85.684,86.545,true,,,,,,,,,,,,,,,,,,,
12,AC21,IOB_X0Y27,IO_L11N_T1_SRCC_12,87.742,88.624,true,,,,,,,,,,,,,,,,,,,
12,AA20,IOB_X0Y26,IO_L12P_T1_MRCC_12,88.550,89.440,true,,,,,,,,,,,,,,,,,,,
12,AB20,IOB_X0Y25,IO_L12N_T1_MRCC_12,85.247,86.104,true,,,,,,,,,,,,,,,,,,,
12,AA19,IOB_X0Y24,IO_L13P_T2_MRCC_12,69.502,70.200,true,,,,,,,,,,,,,,,,,,,
12,AB19,IOB_X0Y23,IO_L13N_T2_MRCC_12,73.059,73.793,true,,,,,,,,,,,,,,,,,,,
12,AC19,IOB_X0Y22,IO_L14P_T2_SRCC_12,80.366,81.173,true,,,,,,,,,,,,,,,,,,,
12,AD19,IOB_X0Y21,IO_L14N_T2_SRCC_12,83.996,84.840,true,,,,,,,,,,,,,,,,,,,
12,AC18,IOB_X0Y20,IO_L15P_T2_DQS_12,82.435,83.263,true,,,,,,,,,,,,,,,,,,,
12,AD18,IOB_X0Y19,IO_L15N_T2_DQS_12,84.732,85.583,true,,,,,,,,,,,,,,,,,,,
12,AE18,IOB_X0Y18,IO_L16P_T2_12,96.432,97.401,true,,,,,,,,,,,,,,,,,,,
12,AF18,IOB_X0Y17,IO_L16N_T2_12,100.591,101.601,true,,,,,,,,,,,,,,,,,,,
12,Y18,IOB_X0Y16,IO_L17P_T2_12,69.808,70.510,true,,,,,,,,,,,,,,,,,,,
12,AA18,IOB_X0Y15,IO_L17N_T2_12,72.512,73.241,true,,,,,,,,,,,,,,,,,,,
12,AE17,IOB_X0Y14,IO_L18P_T2_12,99.872,100.876,true,,,,,,,,,,,,,,,,,,,
12,AF17,IOB_X0Y13,IO_L18N_T2_12,103.822,104.866,true,,,,,,,,,,,,,,,,,,,
12,AA17,IOB_X0Y12,IO_L19P_T3_12,62.814,63.445,true,,,,,,,,,,,,,,,,,,,
12,AB17,IOB_X0Y11,IO_L19N_T3_VREF_12,67.172,67.848,true,,,,,,,,,,,,,,,,,,,
12,AC17,IOB_X0Y10,IO_L20P_T3_12,78.688,79.478,true,,,,,,,,,,,,,,,,,,,
12,AD17,IOB_X0Y9,IO_L20N_T3_12,83.075,83.910,true,,,,,,,,,,,,,,,,,,,
12,Y16,IOB_X0Y8,IO_L21P_T3_DQS_12,65.123,65.777,true,,,,,,,,,,,,,,,,,,,
12,Y17,IOB_X0Y7,IO_L21N_T3_DQS_12,62.747,63.378,true,,,,,,,,,,,,,,,,,,,
12,AB16,IOB_X0Y6,IO_L22P_T3_12,61.761,62.381,true,,,,,,,,,,,,,,,,,,,
12,AC16,IOB_X0Y5,IO_L22N_T3_12,71.421,72.139,true,,,,,,,,,,,,,,,,,,,
12,Y15,IOB_X0Y4,IO_L23P_T3_12,68.418,69.106,true,,,,,,,,,,,,,,,,,,,
12,AA15,IOB_X0Y3,IO_L23N_T3_12,67.801,68.482,,,,,,,,,,,,,,,,,,,,
12,W14,IOB_X0Y2,IO_L24P_T3_12,65.567,66.226,true,,,,,,,,,,,,,,,,,,,
12,W15,IOB_X0Y1,IO_L24N_T3_12,65.190,65.845,true,,,,,,,,,,,,,,,,,,,
12,W16,IOB_X0Y0,IO_25_12,45.499,45.956,true,,,,,,,,,,,,,,,,,,,
12,W17,,VCCO_12,,,,,,,,,,,,,,,,,,,,,VCCO_12,
12,AF26,,VCCO_12,,,,,,,,,,,,,,,,,,,,,VCCO_12,
12,AE19,,VCCO_12,,,,,,,,,,,,,,,,,,,,,VCCO_12,
12,AD22,,VCCO_12,,,,,,,,,,,,,,,,,,,,,VCCO_12,
12,AB18,,VCCO_12,,,,,,,,,,,,,,,,,,,,,VCCO_12,
12,AA21,,VCCO_12,,,,,,,,,,,,,,,,,,,,,VCCO_12,
13,V26,IOB_X0Y96,IO_L2P_T0_13,101.559,102.579,,,,,,,,,,,,,,,,,,,,
13,W26,IOB_X0Y95,IO_L2N_T0_13,107.687,108.769,,,,,,,,,,,,,,,,,,,,
13,AB26,IOB_X0Y94,IO_L3P_T0_DQS_13,127.709,128.993,,,,,,,,,,,,,,,,,,,,
13,AC26,IOB_X0Y93,IO_L3N_T0_DQS_13,131.120,132.438,,,,,,,,,,,,,,,,,,,,
13,Y26,IOB_X0Y91,IO_L4N_T0_13,113.961,115.107,,,,,,,,,,,,,,,,,,,,
13,Y25,IOB_X0Y90,IO_L5P_T0_13,107.901,108.985,,,,,,,,,,,,,,,,,,,,
13,AA25,IOB_X0Y89,IO_L5N_T0_13,120.076,121.282,,,,,,,,,,,,,,,,,,,,
13,W24,IOB_X0Y87,IO_L6N_T0_VREF_13,112.115,113.241,,,,,,,,,,,,,,,,,,,,
13,AA24,IOB_X0Y86,IO_L7P_T1_13,113.936,115.082,,,,,,,,,,,,,,,,,,,,
13,AB25,IOB_X0Y85,IO_L7N_T1_13,124.505,125.757,,,,,,,,,,,,,,,,,,,,
13,AA22,IOB_X0Y84,IO_L8P_T1_13,108.054,109.140,,,,,,,,,,,,,,,,,,,,
13,AA23,IOB_X0Y83,IO_L8N_T1_13,104.402,105.452,,,,,,,,,,,,,,,,,,,,
13,AB24,IOB_X0Y82,IO_L9P_T1_DQS_13,115.503,116.663,,,,,,,,,,,,,,,,,,,,
13,AC24,IOB_X0Y81,IO_L9N_T1_DQS_13,120.118,121.326,,,,,,,,,,,,,,,,,,,,
13,W23,IOB_X0Y79,IO_L10N_T1_13,96.021,96.986,,,,,,,,,,,,,,,,,,,,
13,Y22,IOB_X0Y78,IO_L11P_T1_SRCC_13,92.146,93.072,,,,,,,,,,,,,,,,,,,,
13,Y23,IOB_X0Y77,IO_L11N_T1_SRCC_13,93.939,94.883,,,,,,,,,,,,,,,,,,,,
13,U22,IOB_X0Y76,IO_L12P_T1_MRCC_13,97.156,98.132,,,,,,,,,,,,,,,,,,,,
13,V22,IOB_X0Y75,IO_L12N_T1_MRCC_13,95.160,96.116,,,,,,,,,,,,,,,,,,,,
13,U21,IOB_X0Y74,IO_L13P_T2_MRCC_13,59.727,60.327,,,,,,,,,,,,,,,,,,,,
13,V21,IOB_X0Y73,IO_L13N_T2_MRCC_13,62.486,63.114,,,,,,,,,,,,,,,,,,,,
13,W21,IOB_X0Y72,IO_L14P_T2_SRCC_13,78.762,79.554,,,,,,,,,,,,,,,,,,,,
13,Y21,IOB_X0Y71,IO_L14N_T2_SRCC_13,81.357,82.175,,,,,,,,,,,,,,,,,,,,
13,W19,IOB_X0Y63,IO_L18N_T2_13,65.414,66.072,,,,,,,,,,,,,,,,,,,,
13,V18,IOB_X0Y62,IO_L19P_T3_13,43.726,44.166,,,,,,,,,,,,,,,,,,,,
13,W18,IOB_X0Y61,IO_L19N_T3_VREF_13,52.512,53.040,,,,,,,,,,,,,,,,,,,,
13,T14,IOB_X0Y60,IO_L20P_T3_13,63.221,63.856,,,,,,,,,,,,,,,,,,,,
13,U14,IOB_X0Y54,IO_L23P_T3_13,59.486,60.084,,,,,,,,,,,,,,,,,,,,
13,V14,IOB_X0Y53,IO_L23N_T3_13,65.227,65.882,,,,,,,,,,,,,,,,,,,,
13,V16,IOB_X0Y52,IO_L24P_T3_13,51.255,51.770,,,,,,,,,,,,,,,,,,,,
13,Y24,,VCCO_13,,,,,,,,,,,,,,,,,,,,,VCCO_13,3.30
13,V20,,VCCO_13,,,,,,,,,,,,,,,,,,,,,VCCO_13,3.30
13,U23,,VCCO_13,,,,,,,,,,,,,,,,,,,,,VCCO_13,3.30
13,T26,,VCCO_13,,,,,,,,,,,,,,,,,,,,,VCCO_13,3.30
13,T16,,VCCO_13,,,,,,,,,,,,,,,,,,,,,VCCO_13,3.30
13,AC25,,VCCO_13,,,,,,,,,,,,,,,,,,,,,VCCO_13,3.30
